date,valeur
2020-06-01,0.827106575193251
2020-06-02,0.826818550282888
2020-06-03,0.832009294846161
2020-06-04,0.841311585461678
2020-06-05,0.853114995308287
2020-06-06,0.865596429282899
2020-06-07,0.877031769972307
2020-06-08,0.886121950024903
2020-06-09,0.892089800273755
2020-06-10,0.89468262932911
2020-06-11,0.894144678025174
2020-06-12,0.891161111051288
2020-06-13,0.886688688705026
2020-06-14,0.881622696789677
2020-06-15,0.876699329409736
2020-06-16,0.87249720895811
2020-06-17,0.869450729005511
2020-06-18,0.867863326614749
2020-06-19,0.867931462147337
2020-06-20,0.869816867299708
2020-06-21,0.873670790867085
2020-06-22,0.879635568777911
2020-06-23,0.887841763551639
2020-06-24,0.898381824867092
2020-06-25,0.911217880571585
2020-06-26,0.92615327104292
2020-06-27,0.942831831749527
2020-06-28,0.960745142857822
2020-06-29,0.979248429888243
2020-06-30,0.997609867034033
2020-07-01,1.01516324270033
2020-07-02,1.03145005879367
2020-07-03,1.04624838692916
2020-07-04,1.05955618932907
2020-07-05,1.07156147173633
2020-07-06,1.08261748903078
2020-07-07,1.09322413632897
2020-07-08,1.10390379468788
2020-07-09,1.11514801431205
2020-07-10,1.12740114565347
2020-07-11,1.14104995890503
2020-07-12,1.15642960561382
2020-07-13,1.17386011552193
2020-07-14,1.19360243776566
2020-07-15,1.21582955267764
2020-07-16,1.24061149526526
2020-07-17,1.26790412935886
2020-07-18,1.29740316777528
2020-07-19,1.32802768850565
2020-07-20,1.3579423694318
2020-07-21,1.38486408789542
2020-07-22,1.40639848535716
2020-07-23,1.42050573410349
2020-07-24,1.42631251765341
2020-07-25,1.42417224420818
2020-07-26,1.4156471238021
2020-07-27,1.40308941707954
2020-07-28,1.3891943537618
2020-07-29,1.37658905129971
2020-07-30,1.36715758592694
2020-07-31,1.36158599507537
2020-08-01,1.35956175688351
2020-08-02,1.36010055889238
2020-08-03,1.36181383704414
2020-08-04,1.36323144385533
2020-08-05,1.3634389815593
2020-08-06,1.36240784937831
2020-08-07,1.36082692359564
2020-08-08,1.35983622119648
2020-08-09,1.36080530086567
2020-08-10,1.3650814936091
2020-08-11,1.37348805438217
2020-08-12,1.38598833813024
2020-08-13,1.40181059094932
2020-08-14,1.41968652501998
2020-08-15,1.43807489796567
2020-08-16,1.4553585844043
2020-08-17,1.47006672375165
2020-08-18,1.48119672476762
2020-08-19,1.48823900099002
2020-08-20,1.49108019876731
2020-08-21,1.48989259698768
2020-08-22,1.48505273129155
2020-08-23,1.47712713174065
2020-08-24,1.46679093684848
2020-08-25,1.45474350002634
2020-08-26,1.44165174592691
2020-08-27,1.42811825971846
2020-08-28,1.4146537558603
2020-08-29,1.40161426770597
2020-08-30,1.38916740565648
2020-08-31,1.37733236221802
2020-09-01,1.36603053563729
2020-09-02,1.35512467768332
2020-09-03,1.34444854024063
2020-09-04,1.33384139259707
2020-09-05,1.32319327897382
2020-09-06,1.31244570209379
2020-09-07,1.30157818189749
2020-09-08,1.2905960504111
2020-09-09,1.27952264184699
2020-09-10,1.26839734310904
2020-09-11,1.25726558976748
2020-09-12,1.24617312958166
2020-09-13,1.23516347176676
2020-09-14,1.22427653019596
2020-09-15,1.2135096389074
2020-09-16,1.20267492281814
2020-09-17,1.19139636190102
2020-09-18,1.1791587247254
2020-09-19,1.1653498803879
2020-09-20,1.14928981360342
2020-09-21,1.1303698905993
2020-09-22,1.1085538428012
2020-09-23,1.08451617719712
2020-09-24,1.05952118672977
2020-09-25,1.03529920529183
2020-09-26,1.01397994408915
2020-09-27,0.998001982542812
2020-09-28,0.989715056527606
2020-09-29,0.990882995524314
2020-09-30,1.00260073610828
2020-10-01,1.02529226447376
2020-10-02,1.05857474839934
2020-10-03,1.10085334034105
2020-10-04,1.14933453531755
2020-10-05,1.20050920188125
2020-10-06,1.25054054164844
2020-10-07,1.29564355732884
2020-10-08,1.33261961842422
2020-10-09,1.35978713752686
2020-10-10,1.37729906190141
2020-10-11,1.38675144751511
2020-10-12,1.39061828052869
2020-10-13,1.3917607616702
2020-10-14,1.39298750445552
2020-10-15,1.39641376331382
2020-10-16,1.40298834092015
2020-10-17,1.41265064278591
2020-10-18,1.42463928112489
2020-10-19,1.43776395717649
2020-10-20,1.4505525018231
2020-10-21,1.46122349241463
2020-10-22,1.46809328544409
2020-10-23,1.46978226942125
2020-10-24,1.46526637875704
2020-10-25,1.45386310176531
2020-10-26,1.4352375666785
2020-10-27,1.40958954014127
2020-10-28,1.37768607249192
2020-10-29,1.34062133619023
2020-10-30,1.29957920029253
2020-10-31,1.2556844452171
2020-11-01,1.20995053362534
2020-11-02,1.16328761589345
2020-11-03,1.11634634438881
2020-11-04,1.06952725385156
2020-11-05,1.02304954131395
2020-11-06,0.977010994684399
2020-11-07,0.931470433277678
2020-11-08,0.886607276776504
2020-11-09,0.842718455458124
2020-11-10,0.80024068455487
2020-11-11,0.759809825516953
2020-11-12,0.72234356038238
2020-11-13,0.689043973240324
2020-11-14,0.661030531522981
2020-11-15,0.639100104163945
2020-11-16,0.623652156520632
2020-11-17,0.614592595026246
2020-11-18,0.611166736642033
2020-11-19,0.611831702720622
2020-11-20,0.61460696750315
2020-11-21,0.6177569579574
2020-11-22,0.620081912694635
2020-11-23,0.621077626110134
2020-11-24,0.621101498146168
2020-11-25,0.621461523726192
2020-11-26,0.624050565834861
2020-11-27,0.630632129592703
2020-11-28,0.642535185558387
2020-11-29,0.660483667526322
2020-11-30,0.684405503566253
2020-12-01,0.713290276751217
2020-12-02,0.745416126335713
2020-12-03,0.778964781679893
